company,rank,rank_change, revenue , profit , num. of employees ,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker, Market Cap 
Skechers U.S.A.,531,0," 5,243 ", 347 ," 8,550 ",Apparel,Manhattan Beach,CA,,yes,no,yes, ,Robert Greenberg,https://www.skx.com,SKX," 3,725 "
Domtar,532,0," 5,220 ", 84 ," 10,000 ",Materials,Fort Mill,SC,,no,no,yes, ,John D. Williams,https://www.domtar.com,UFS," 1,218 "
NiSource,533,0," 5,209 ", 383 ," 8,363 ",Energy,Merrillville,IN,,no,no,yes, ,Joseph J. Hamrock,https://www.nisource.com,NI," 9,545 "
Marathon Oil,534,0," 5,190 ", 480 ," 2,000 ",Energy,Houston,TX,,no,no,yes, ,Lee M. Tillman,https://www.marathonoil.com,MRO," 2,618 "
National General Holdings,535,0," 5,180 ", 348 ," 9,200 ",Financials,New York,NY,,no,no,yes, ,Barry Karfunkel,https://www.nationalgeneral.com,," 1,882 "
Telephone & Data Systems,536,0," 5,176 ", 121 ," 9,400 ",Telecommunications,Chicago,IL,,no,no,yes, ,LeRoy T. Carlson Jr.,https://www.tdsinc.com,TDS," 1,924 "
Agilent Technologies,537,0," 5,163 "," 1,071 "," 16,300 ",Technology,Santa Clara,CA,,no,no,yes, ,Michael R. McMullen,https://www.agilent.com,A," 22,177 "
Ametek,538,0," 5,159 ", 861 ," 18,100 ",Technology,Berwyn,PA,,no,no,yes, ,David A. Zapico,https://www.ametek.com,AME," 16,506 "
Evergy,539,0," 5,148 ", 670 ," 4,617 ",Energy,Kansas City,MO,,no,no,yes, ,David A. Campbell,https://www.evergyinc.com,EVRG," 12,478 "
International Flavors & Fragrances,540,0," 5,140 ", 456 ," 13,668 ",Chemicals,New York,NY,,no,no,yes, ,Andreas Fibig,https://www.iff.com,IFF," 10,902 "
ADT,541,0," 5,126 ", (424)," 17,500 ",Business Services,Boca Raton,FL,,no,no,no, ,James D. DeVries,https://www.adt.com,ADT," 3,283 "
Welltower,542,0," 5,121 "," 1,232 ", 443 ,Financials,Toledo,OH,,no,no,yes, ,Shankh Mitra,https://www.welltower.com,WELL," 18,795 "
Windstream Holdings,543,0," 5,115 "," (3,090)"," 11,945 ",Telecommunications,Little Rock,AR,,no,no,no, ,Anthony W. Thomas,https://www.windstream.com,WINMQ, 2 
Michaels,544,0," 5,072 ", 273 ," 28,000 ",Retailing,Irving,TX,,no,no,yes, ,Ashley Buchanan,https://www.michaels.com,MIK, 238 
Kemper,545,0," 5,039 ", 531 ," 8,900 ",Financials,Chicago,IL,,no,no,yes, ,Joseph Lacher Jr.,https://www.kemper.com,KMPR," 4,377 "
Hyatt Hotels,546,0," 5,020 ", 766 ," 55,000 ","Hotels, Restaurants & Leisure",Chicago,IL,,no,no,yes, ,Mark S. Hoplamazian,https://www.hyatt.com,H," 7,272 "
Alexion Pharmaceuticals,547,0," 4,991 "," 2,404 "," 3,082 ",Health Care,Boston,MA,,no,no,yes, ,Ludwig N. Hantson Ph.D.,https://www.alexion.com,ALXN," 19,942 "
Resideo Technologies,548,0," 4,988 ", 36 ," 13,000 ",Materials,Austin,TX,,no,no,yes, ,Jay Geldmacher,https://www.resideo.com,REZI, 595 
CACI International,549,0," 4,986 ", 266 ," 22,100 ",Technology,Arlington,VA,,no,no,yes, ,John S. Mengucci,https://www.caci.com,CACI," 6,300 "
Electronic Arts,550,0," 4,950 "," 1,019 "," 9,700 ",Media,Redwood City,CA,,no,no,yes, ,Andrew Wilson,https://www.ea.com,EA," 42,236 "
Vulcan Materials,551,0," 4,929 ", 618 ," 9,173 ",Materials,Birmingham,AL,,no,no,yes, ,J. Thomas Hill,https://www.vulcanmaterials.com,VMC," 14,325 "
TreeHouse Foods,552,0," 4,927 ", (361)," 10,800 ","Food, Beverages & Tobacco",Oak Brook,IL,,no,no,no, ,Steven T. Oakland,https://www.treehousefoods.com,THS," 2,484 "
Global Payments,553,0," 4,912 ", 431 ," 24,000 ",Business Services,Atlanta,GA,,no,no,yes, ,Jeffrey S. Sloan,https://www.globalpaymentsinc.com,GPN," 43,288 "
Hanover Insurance Group,554,0," 4,897 ", 425 ," 4,300 ",Financials,Worcester,MA,,no,no,yes, ,John C. Roche,https://www.hanover.com,THG," 3,457 "
Camping World Holdings,555,0," 4,892 ", (61)," 11,508 ",Retailing,Lincolnshire,IL,,no,no,no, ,Marcus A. Lemonis,https://www.campingworld.com,CWH, 502 
Cornerstone Building Brands,556,0," 4,890 ", (15)," 20,100 ",Materials,Cary,NC,,no,no,no, ,James S. Metcalf,https://www.cornerstonebuildingbrands.com,CNR, 575 
Yellow,557,0," 4,871 ", (104)," 29,000 ",Transportation,Overland Park,KS,,no,no,no, ,Darren D. Hawkins,https://www.yrcw.com,YELL, 61 
CME Group,558,0," 4,868 "," 2,117 "," 4,360 ",Financials,Chicago,IL,,no,no,yes, ,Terrence A. Duffy,https://www.cmegroup.com,CME," 61,985 "
Chewy,559,0," 4,847 ", (252)," 12,000 ",Retailing,Dania Beach,FL,,no,no,no, ,Sumit Singh,https://www.chewy.com,CHWY," 14,944 "
Knight-Swift Transportation Holdings,560,0," 4,844 ", 309 ," 23,700 ",Transportation,Phoenix,AZ,,no,no,yes, ,David Jackson,https://knight-swift.com,KNX," 7,031 "
Moody&#8217;s,561,0," 4,829 "," 1,422 "," 11,081 ",Business Services,New York,NY,,no,no,yes, ,Robert Fauber,https://www.moodys.com,MCO," 39,594 "
Coca-Cola Consolidated,562,0," 4,827 ", 11 ," 15,850 ","Food, Beverages & Tobacco",Charlotte,NC,,no,no,yes, ,J. Frank Harrison III,https://www.cokeconsolidated.com,COKE," 2,402 "
Carlisle,563,0," 4,812 ", 473 ," 14,000 ",Materials,Scottsdale,AZ,,no,no,yes, ,D. Christian Koch,https://www.carlisle.com,CSL," 6,977 "
Sealed Air,564,0," 4,791 ", 263 ," 16,500 ",Materials,Charlotte,NC,,no,no,yes, ,Edward L. Doheny II,https://www.sealedair.com,SEE," 3,822 "
A-Mark Precious Metals,565,0," 4,783 ", 2 , 183 ,Materials,El Segundo,CA,,no,no,yes, ,Gregory N. Roberts,https://www.amark.com,AMRK, 86 
Watsco,566,0," 4,770 ", 246 ," 5,800 ",Wholesalers,Miami,FL,,no,no,yes, ,Albert H. Nahmad,https://www.watsco.com,WSO," 6,050 "
Taylor Morrison Home,567,0," 4,762 ", 255 ," 2,300 ",Engineering & Construction,Scottsdale,AZ,,no,yes,yes, ,Sheryl D. Palmer,https://www.taylormorrison.com,TMHC," 1,479 "
IAC/InterActiveCorp,568,0," 4,757 ", 431 ," 8,700 ",Technology,New York,NY,,no,no,yes, ,Joseph M. Levin,https://www.iac.com,IAC," 15,192 "
Leggett & Platt,569,0," 4,753 ", 334 ," 22,000 ",Household Products,Carthage,MO,,no,no,yes, ,Karl G. Glassman,https://www.leggett.com,LEG," 5,860 "
OneMain Holdings,570,0," 4,749 ", 855 ," 9,700 ",Financials,Evansville,IN,,no,no,yes, ,Douglas H. Shulman,https://www.omf.com,OMF," 2,604 "
Schneider National,571,0," 4,747 ", 147 ," 15,650 ",Transportation,Green Bay,WI,,no,no,yes, ,Mark B. Rourke,https://www.schneider.com,SNDR," 3,426 "
Martin Marietta Materials,572,0," 4,739 ", 612 ," 8,846 ",Materials,Raleigh,NC,,no,no,yes, ,C. Howard Nye,https://www.martinmarietta.com,MLM," 11,770 "
NortonLifeLock,573,0," 4,731 ", 31 ," 11,900 ",Technology,Tempe,AZ,,no,no,yes, ,Vincent Pilette,https://www.nortonlifelock.com,NLOK," 11,233 "
Hasbro,574,0," 4,720 ", 521 ," 5,600 ",Household Products,Pawtucket,RI,,no,no,yes, ,Brian D. Goldner,https://www.hasbro.com,HAS," 9,794 "
Square,575,0," 4,714 ", 375 ," 3,835 ",Business Services,San Francisco,CA,,yes,no,yes, ,Jack Dorsey,https://www.squareup.com,SQ," 88,370 "
