company,rank,rank_change, revenue , profit , num. of employees ,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker, Market Cap 
Sabre,645,0," 3,975 ", 159 ," 9,250 ",Technology,Southlake,TX,,no,no,yes, ,Sean E. Menke,https://www.sabre.com,SABR," 1,623 "
Mercury General,646,0," 3,973 ", 320 ," 4,500 ",Financials,Los Angeles,CA,,no,no,yes, ,Gabriel Tirador,https://www.mercuryinsurance.com,MCY," 2,254 "
Diamondback Energy,647,0," 3,964 ", 240 , 712 ,Energy,Midland,TX,,no,no,yes, ,Travis D. Stice,https://www.diamondbackenergy.com,FANG," 4,147 "
Parsons,648,0," 3,955 ", 121 ," 15,879 ",Aerospace & Defense,Centreville,VA,,no,no,yes, ,Charles L. Harrington,https://www.parsons.com,PSN," 3,217 "
Aaron's,649,0," 3,948 ", 32 ," 12,100 ",Retailing,Atlanta,GA,,no,no,yes, ,John W. Robinson III,https://www.aarons.com,AAN," 1,520 "
Flowserve,650,0," 3,945 ", 254 ," 17,000 ",Industrials,Irving,TX,,no,no,yes, ,R. Scott Rowe,https://www.flowserve.com,FLS," 3,127 "
Carvana,651,0," 3,940 ", (115)," 7,324 ",Retailing,Tempe,AZ,,yes,no,no, ,Ernest C. Garcia,https://www.carvana.com,CVNA," 8,480 "
ASGN,652,0," 3,924 ", 175 ," 4,300 ",Business Services,Calabasas,CA,,no,no,yes, ,Theodore S. Hanson,https://www.asgn.com,ASGN," 1,872 "
Sally Beauty Holdings,653,0," 3,876 ", 272 ," 30,050 ",Retailing,Denton,TX,,no,no,yes, ,Christian A. Brickman,https://www.sallybeautyholdings.com,SBH, 944 
ScanSource,654,0," 3,873 ", 58 ," 2,700 ",Wholesalers,Greenville,SC,,yes,no,yes, ,Michael L. Baur,https://www.scansource.com,SCSC, 681 
Ventas,655,0," 3,873 ", 433 , 516 ,Financials,Chicago,IL,,no,yes,yes, ,Debra A. Cafaro,https://www.ventasreit.com,VTR," 9,993 "
Country Financial,656,0," 3,868 ", 167 ," 3,839 ",Financials,Bloomington,IL,,no,no,yes, ,Jim Jacobs,https://www.countryfinancial.com,,
TriNet Group,657,0," 3,856 ", 212 ," 2,900 ",Business Services,Dublin,CA,,no,no,yes, ,Burton M. Goldfield,https://www.trinet.com,TNET," 2,589 "
Spirit Airlines,658,0," 3,831 ", 335 ," 8,938 ",Transportation,Miramar,FL,,no,no,yes, ,Edward M. Christie III,https://www.spirit.com,SAVE," 2,715 "
Comerica,659,0," 3,817 "," 1,198 "," 7,708 ",Financials,Dallas,TX,,no,no,yes, ,Curtis C. Farmer,https://www.comerica.com,CMA," 4,118 "
Lennox International,660,0," 3,807 ", 409 ," 11,200 ",Industrials,Richardson,TX,,no,no,yes, ,Todd M. Bluedorn,https://www.lennoxinternational.com,LII," 7,017 "
Timken,661,0," 3,790 ", 362 ," 18,829 ",Industrials,North Canton,OH,,no,no,yes, ,Richard G. Kyle,https://www.timken.com,TKR," 2,452 "
Paychex,662,0," 3,773 "," 1,034 "," 15,450 ",Business Services,Rochester,NY,,no,no,yes, ,Martin Mucci,https://www.paychex.com,PAYX," 32,212 "
Amerco,663,0," 3,769 ", 371 ," 21,900 ",Transportation,Reno,NV,,no,no,yes, ,Edward J. Shoen,https://www.amerco.com,UHAL," 5,697 "
Worthington Industries,664,0," 3,760 ", 154 ," 12,000 ",Materials,Columbus,OH,,no,no,yes, ,B. Andrew Rose,https://www.worthingtonindustries.com,WOR," 1,433 "
Lamb Weston Holdings,665,0," 3,757 ", 479 ," 7,600 ","Food, Beverages & Tobacco",Eagle,ID,,no,no,yes, ,Thomas P. Werner,https://www.lambweston.com,LW," 8,342 "
Laureate Education,666,0," 3,752 ", 939 ," 41,000 ",Business Services,Baltimore,MD,,no,no,yes, ,Eilif Serck-Hanssen,https://www.laureate.net,LAUR," 2,203 "
Penn Mutual Life Insurance,667,0," 3,705 ", 396 ," 3,318 ",Financials,Horsham,PA,,no,yes,yes, ,Eileen C. McDonnell,https://www.pennmutual.com,,
iHeartMedia,668,0," 3,684 ",," 11,400 ",Media,San Antonio,TX,,no,no,no, ,Robert W. Pittman,https://www.iheartmedia.com,IHRT," 1,074 "
Brink's,669,0," 3,683 ", 29 ," 64,300 ",Business Services,Richmond,VA,,no,no,yes, ,Douglas A. Pertz,https://www.brinks.com,BCO," 2,625 "
Sentry Insurance Group,670,0," 3,681 ", 324 ," 4,217 ",Financials,Stevens Point,WI,,no,no,yes, ,Peter G. McPartland,https://www.sentry.com,,
Acuity Brands,671,0," 3,673 ", 330 ," 12,000 ",Industrials,Atlanta,GA,,no,no,yes, ,Neil M. Ashe,https://www.acuitybrands.com,AYI," 3,394 "
Hub Group,672,0," 3,668 ", 107 ," 5,000 ",Transportation,Oak Brook,IL,,no,no,yes, ,David P. Yeager,https://www.hubgroup.com,HUBG," 1,557 "
Meritage Homes,673,0," 3,667 ", 250 ," 1,510 ",Engineering & Construction,Scottsdale,AZ,,no,no,yes, ,Phillipe Lord,https://www.meritagehomes.com,MTH," 1,373 "
MRC Global,674,0," 3,662 ", 39 ," 3,345 ",Energy,Houston,TX,,no,no,yes, ,Robert J. Saltiel Jr.,https://www.mrcglobal.com,MRC, 350 
Alliant Energy,675,0," 3,648 ", 557 ," 3,597 ",Energy,Madison,WI,,no,no,yes, ,John O. Larsen,https://www.alliantenergy.com,LNT," 11,833 "
Workday,676,0," 3,627 ", (481)," 12,200 ",Technology,Pleasanton,CA,,yes,no,no, ,Aneel Bhusri,https://www.workday.com,WDAY," 54,430 "
BMC Stock Holdings,677,0," 3,627 ", 110 ," 10,200 ",Wholesalers,Raleigh,NC,,no,no,yes, ,David E. Flitman,https://www.buildwithbmc.com,BMCH," 1,183 "
Abercrombie & Fitch,678,0," 3,623 ", 39 ," 26,000 ",Retailing,New Albany,OH,,no,yes,yes, ,Fran Horowitz,https://www.abercrombie.com,ANF, 560 
Domino's Pizza,679,0," 3,619 ", 401 ," 13,100 ","Hotels, Restaurants & Leisure",Ann Arbor,MI,,no,no,yes, ,Richard E. Allison,https://www.dominos.com/index.intl.html,DPZ," 14,933 "
Lyft,680,0," 3,616 "," (2,602)"," 5,683 ",Technology,San Francisco,CA,,yes,no,no, ,Logan Green,https://ww.lyft.com,LYFT," 8,233 "
Meredith,681,0," 3,612 ", 46 ," 5,615 ",Media,Des Moines,IA,,no,no,yes, ,Thomas H. Harty,https://www.meredith.com,MDP, 554 
American Water Works,682,0," 3,610 ", 621 ," 6,800 ",Energy,Camden,NJ,,no,no,yes, ,Walter J. Lynch,https://www.amwater.com,AWK," 21,643 "
Albemarle,683,0," 3,589 ", 533 ," 6,000 ",Chemicals,Charlotte,NC,,no,no,yes, ,,https://www.albemarle.com,ALB," 5,993 "
Ciena,684,0," 3,572 ", 253 ," 6,383 ",Technology,Hanover,MD,,no,no,yes, ,Gary B. Smith,https://www.ciena.com,CIEN," 8,168 "
Barnes & Noble,685,0," 3,553 ", 4 ," 15,538 ",Retailing,New York,NY,,no,no,yes, ,James Daunt,https://www.barnesandnobleinc.com,,
Weis Markets,686,0," 3,543 ", 68 ," 23,000 ",Food & Drug Stores,Sunbury,PA,,no,no,yes, ,Jonathan H. Weis,https://www.weismarkets.com,WMK," 1,279 "
Illumina,687,0," 3,543 "," 1,002 "," 7,700 ",Technology,San Diego,CA,,no,no,yes, ,Francis deSouza,https://www.illumina.com,ILMN," 43,917 "
SVB Financial Group,688,0," 3,531 "," 1,137 "," 3,564 ",Financials,Santa Clara,CA,,no,no,yes, ,Gregory Becker,https://www.svb.com,SIVB," 12,272 "
Carter's,689,0," 3,519 ", 264 ," 20,300 ",Apparel,Atlanta,GA,,no,no,yes, ,Michael D. Casey,https://www.carters.com,CRI," 2,887 "
Stifel Financial,690,0," 3,515 ", 448 ," 8,205 ",Financials,St. Louis,MO,,no,no,yes, ,Ronald J. Kruszewski,https://www.stifel.com,SF," 2,870 "
Mednax,691,0," 3,514 "," (1,498)"," 9,480 ",Health Care,Sunrise,FL,,yes,no,no, ,Mark S. Ordan,https://www.mednax.com,MD, 981 
Equifax,692,0," 3,508 ", (399)," 11,200 ",Business Services,Atlanta,GA,,no,no,no, ,Mark W. Begor,https://www.equifax.com,EFX," 14,569 "
Kar Auction Services,693,0," 3,506 ", 189 ," 13,311 ",Wholesalers,Carmel,IN,,no,no,yes, ,James P. Hallett,https://www.karauctionservices.com,KAR," 1,546 "
Ashland Global Holdings,694,0," 3,505 ", 505 ," 4,700 ",Chemicals,Covington,KY,,no,no,yes, ,Guillermo Novo,https://www.ashland.com,ASH," 3,017 "
Medical Mutual of Ohio,695,0," 3,503 ", 84 ," 2,801 ",Financials,Cleveland,OH,,no,no,yes, ,Richard A. Chiricosta,https://www.medmutual.com,,
Sprague Resources,696,0," 3,502 ", 31 , 770 ,Energy,Portsmouth,NH,,no,no,yes, ,David C. Glendon,https://www.spragueenergy.com,SRLP, 299 
Super Micro Computer,697,0," 3,500 ", 72 ," 3,670 ",Technology,San Jose,CA,,yes,no,yes, ,Charles Liang,https://www.supermicro.com,SMCI," 1,091 "
Designer Brands,698,0," 3,493 ", 95 ," 16,100 ",Retailing,Columbus,OH,,no,no,yes, ,Roger L. Rawlins,https://www.designerbrands.com,DBI, 357 
Pitney Bowes,699,0," 3,478 ", 195 ," 11,000 ",Technology,Stamford,CT,,no,no,yes, ,Marc B. Lautenbach,https://www.pitneybowes.com,PBI, 350 
Applied Industrial Technologies,700,0," 3,473 ", 144 ," 6,650 ",Wholesalers,Cleveland,OH,,no,no,yes, ,Neil A. Schrimsher,https://www.applied.com,AIT," 1,768 "
Pinnacle West Capital,701,0," 3,471 ", 538 ," 6,210 ",Energy,Phoenix,AZ,,no,no,yes, ,Jeffrey B Guldner,https://www.pinnaclewest.com,PNW," 8,522 "
American Equity Investment Life Holding,702,0," 3,464 ", 246 , 608 ,Financials,West Des Moines,IA,,no,no,yes, ,Anant Bhalla,https://www.american-equity.com,AEL," 1,716 "
ServiceNow,703,0," 3,460 ", 627 ," 10,371 ",Technology,Santa Clara,CA,,no,no,yes, ,William R. McDermott,https://www.servicenow.com,NOW," 105,782 "
Twitter,704,0," 3,459 "," 1,466 "," 4,900 ",Technology,San Francisco,CA,,yes,no,yes, ,Jack Dorsey,https://www.twitter.com,TWTR," 35,536 "
Calumet Specialty Products Partners,705,0," 3,453 ", (44)," 1,500 ",Energy,Indianapolis,IN,,no,no,no, ,Stephen P. Mawer,https://www.calumetspecialty.com,CLMT, 82 
Steelcase,706,0," 3,443 ", 126 ," 12,700 ",Household Products,Grand Rapids,MI,,no,no,yes, ,James P. Keane,https://www.steelcase.com,SCS," 1,548 "
Sanderson Farms,707,0," 3,440 ", 53 ," 17,055 ","Food, Beverages & Tobacco",Laurel,MS,,no,no,yes, ,Joe F. Sanderson Jr.,https://www.sandersonfarms.com,SAFM," 2,742 "
WABCO Holdings,708,0," 3,421 ", 246 ," 13,911 ",Motor Vehicles & Parts,Auburn Hills,MI,,no,no,yes, ,Jon Morrison,https://www.wabco-auto.com,," 6,924 "
Clean Harbors,709,0," 3,412 ", 98 ," 14,400 ",Business Services,Norwell,MA,,yes,no,yes, ,Alan S. McKim,https://www.cleanharbors.com,CLH," 2,866 "
Puget Energy,710,0," 3,401 ", 211 ," 3,130 ",Energy,Bellevue,WA,,no,yes,yes, ,Mary E. Kipp,https://www.pugetenergy.com,,
Scientific Games,711,0," 3,400 ", (130)," 9,800 ","Hotels, Restaurants & Leisure",Las Vegas,NV,,no,no,no, ,Barry L. Cottle,https://www.scientificgames.com,SGMS, 911 
Granite Construction,712,0," 3,390 ", (105)," 4,200 ",Engineering & Construction,Watsonville,CA,,no,no,no, ,Kyle T. Larkin,https://www.graniteconstruction.com,GVA, 710 
Carlyle Group,713,0," 3,377 ", 381 ," 1,775 ",Financials,Washington,DC,,no,no,yes, ,Kewsong Lee,https://www.carlyle.com,CG," 7,539 "
Skyworks Solutions,714,0," 3,377 ", 854 ," 9,000 ",Technology,Irvine,CA,,no,no,yes, ,Liam K. Griffin,https://www.skyworksinc.com,SWKS," 15,156 "
Aleris,715,0," 3,376 ", (12)," 5,600 ",Materials,Cleveland,OH,,no,no,no, ,Sean M. Stack,https://www.aleris.com,,
Triple-S Management,716,0," 3,376 ", 93 ," 3,992 ",Health Care,San Juan,PR,,no,no,yes, ,Roberto Garcia-Rodriguez,https://www.triplesmanagement.com,GTS, 345 
Hexion,717,0," 3,374 ",," 4,000 ",Chemicals,Columbus,OH,,no,no,no, ,Craig Rogerson,https://www.hexion.com,,
Hologic,718,0," 3,367 ", (204)," 6,478 ",Health Care,Marlborough,MA,,no,no,no, ,Stephen P. MacMillan,https://www.hologic.com,HOLX," 9,271 "
Triumph Group,719,0," 3,365 ", (322)," 10,776 ",Aerospace & Defense,Berwyn,PA,,no,no,no, ,Daniel J. Crowley,https://www.triumphgroup.com,TGI, 351 
Darling Ingredients,720,0," 3,364 ", 313 ," 10,100 ","Food, Beverages & Tobacco",Irving,TX,,no,no,yes, ,Randall C. Stuewe,https://www.darlingii.com,DAR," 3,145 "
MSC Industrial Direct,721,0," 3,364 ", 289 ," 6,700 ",Wholesalers,Melville,NY,,no,no,yes, ,Erik Gershwind,https://www.mscdirect.com,MSM," 3,045 "
Red Hat,722,0," 3,362 ", 434 ," 13,360 ",Technology,Raleigh,NC,,no,no,yes, ,Paul J. Cormier,https://www.redhat.com,,
Synopsys,723,0," 3,361 ", 532 ," 13,896 ",Technology,Mountain View,CA,,yes,no,yes, ,Aart J. de Geus/Chi-Foon Chan,https://www.synopsys.com,SNPS," 30,028 "
PolyOne,724,0," 3,352 ", 589 ," 5,600 ",Chemicals,Avon Lake,OH,,no,no,yes, ,Robert M. Patterson,https://www.polyone.com,POL," 1,752 "
Dycom Industries,725,0," 3,340 ", 57 ," 15,230 ",Engineering & Construction,Palm Beach Gardens,FL,,no,no,yes, ,Steven E. Nielsen,https://www.dycomind.com,DY, 810 
Cabot,726,0," 3,337 ", 157 ," 4,500 ",Chemicals,Boston,MA,,no,no,yes, ,Sean D. Keohane,https://www.cabotcorp.com,CBT," 1,481 "
Prologis,727,0," 3,331 "," 1,573 "," 1,712 ",Financials,San Francisco,CA,,no,no,yes, ,Hamid R. Moghadam,https://www.prologis.com,PLD," 59,401 "
Boyd Gaming,728,0," 3,326 ", 158 ," 24,300 ","Hotels, Restaurants & Leisure",Las Vegas,NV,,no,no,yes, ,Keith E. Smith,https://www.boydgaming.com,BYD," 1,609 "
LSC Communications,729,0," 3,326 ", (295)," 20,000 ",Media,Chicago,IL,,no,no,no, ,Suzanne Bettman,https://www.lsccom.com,LKSDQ, 3 
Brown-Forman,730,0," 3,324 ", 835 ," 4,700 ","Food, Beverages & Tobacco",Louisville,KY,,no,no,yes, ,Lawson E. Whiting,https://www.brown-forman.com,BFB," 25,843 "
Stericycle,731,0," 3,309 ", (347)," 19,500 ",Business Services,Bannockburn,IL,,no,yes,no, ,Cindy J. Miller,https://www.stericycle.com,SRCL," 4,434 "
CIT Group,732,0," 3,296 ", 530 ," 3,609 ",Financials,New York,NY,,no,yes,yes, ,Ellen R. Alemany,https://www.cit.com,CIT," 1,692 "
MDC Holdings,733,0," 3,293 ", 238 ," 1,656 ",Engineering & Construction,Denver,CO,,no,no,yes, ,David M. Mandarich,https://www.mdcholdings.com,MDC," 1,463 "
Hyster-Yale Materials Handling,734,0," 3,292 ", 36 ," 7,900 ",Industrials,Cleveland,OH,,no,no,yes, ,Alfred M. Rankin Jr.,https://www.hyster-yale.com,HY, 673 
Crane,735,0," 3,283 ", 133 ," 13,000 ",Industrials,Stamford,CT,,no,no,yes, ,Max H. Mitchell,https://www.craneco.com,CR," 2,911 "
Cinemark Holdings,736,0," 3,283 ", 191 ," 22,603 ",Media,Plano,TX,,no,no,yes, ,Mark Zoradi,https://www.cinemark.com,CNK," 1,194 "
Autodesk,737,0," 3,274 ", 215 ," 10,100 ",Technology,San Rafael,CA,,no,no,yes, ,Andrew Anagnost,https://www.autodesk.com,ADSK," 67,854 "
Trimble,738,0," 3,264 ", 514 ," 11,484 ",Technology,Sunnyvale,CA,,no,no,yes, ,Robert G. Painter,https://www.trimble.com,TRMB," 7,963 "
Garrett Motion,739,0," 3,248 ", 313 ," 7,400 ",Motor Vehicles & Parts,Plymouth,MI,,no,no,yes, ,Olivier Rabiller,https://www.garrettmotion.com,GTX, 214 
Zions Bancorp.,740,0," 3,245 ", 816 ," 10,188 ",Financials,Salt Lake City,UT,,no,no,yes, ,Harris H. Simmons,https://www.zionsbancorporation.com,ZION," 4,389 "
Regal Beloit,741,0," 3,238 ", 239 ," 19,560 ",Industrials,Beloit,WI,,no,no,yes, ,Louis V. Pinkham,https://www.regalbeloit.com,RBC," 2,559 "
Service Corp. International,742,0," 3,231 ", 370 ," 20,457 ",Business Services,Houston,TX,,no,no,yes, ,Thomas L. Ryan,https://www.sci-corp.com,SCI," 7,084 "
Varian Medical Systems,743,0," 3,225 ", 292 ," 10,062 ",Health Care,Palo Alto,CA,,no,no,yes, ,Dow R. Wilson,https://www.varian.com,VAR," 9,308 "
PriceSmart,744,0," 3,224 ", 73 ," 9,000 ",Retailing,San Diego,CA,,no,yes,yes, ,Sherry S. Bahrambeygui,https://www.pricesmart.com,PSMT," 1,609 "
Brinker International,745,0," 3,218 ", 155 ," 56,147 ","Hotels, Restaurants & Leisure",Dallas,TX,,no,no,yes, ,Wyman T. Roberts,https://www.brinker.com,EAT, 449 
Digital Realty Trust,746,0," 3,209 ", 580 ," 1,550 ",Financials,San Francisco,CA,,no,no,yes, ,A. William Stein,https://www.digitalrealty.com,DLR," 36,017 "
Pool,747,0," 3,200 ", 262 ," 4,500 ",Wholesalers,Covington,LA,,no,no,yes, ,Peter D. Arvan,https://www.poolcorp.com,POOL," 7,921 "
Crestwood Equity Partners,748,0," 3,182 ", 285 , 894 ,Energy,Houston,TX,,no,no,yes, ,Robert G Phillips,https://www.crestwoodlp.com,CEQP, 308 
Infor,749,0," 3,171 ", 142 ," 17,380 ",Technology,New York,NY,,no,no,yes, ,Kevin Samuelson,https://www.infor.com,,
Plexus,750,0," 3,164 ", 109 ," 19,000 ",Technology,Neenah,WI,,no,no,yes, ,Todd P. Kelsey,https://www.plexus.com,PLXS," 1,602 "
Teledyne Technologies,751,0," 3,164 ", 402 ," 11,790 ",Aerospace & Defense,Thousand Oaks,CA,,no,no,yes, ,Aldo Pichelli,https://www.teledyne.com,TDY," 10,893 "
G-III Apparel Group,752,0," 3,161 ", 144 ," 6,050 ",Apparel,New York,NY,,no,no,yes, ,Morris Goldfarb,https://www.giii.com,GIII, 370 
Scotts Miracle-Gro,753,0," 3,156 ", 461 ," 5,850 ",Chemicals,Marysville,OH,,no,no,yes, ,James S. Hagedorn,https://www.scotts.com,SMG," 5,693 "
Apollo Global Management,754,0," 3,145 ", 843 ," 1,421 ",Financials,New York,NY,,yes,no,yes, ,Leon D. Black,https://www.apollo.com,APO," 7,739 "
E*Trade Financial,755,0," 3,145 ", 955 ," 4,122 ",Financials,Arlington,VA,,no,no,yes, ,Michael A. Pizzi,https://www.etrade.com,," 7,586 "
Toro,756,0," 3,138 ", 274 ," 9,329 ",Industrials,Bloomington,MN,,no,no,yes, ,Richard M. Olson,https://www.thetorocompany.com,TTC," 6,963 "
Southwest Gas Holdings,757,0," 3,120 ", 214 ," 8,944 ",Energy,Las Vegas,NV,,no,no,yes, ,John P. Hester,https://www.swgasholdings.com,SWX," 3,834 "
GMS,758,0," 3,116 ", 56 ," 5,858 ",Wholesalers,Tucker,GA,,no,no,yes, ,John C. Turner Jr.,https://www.gms.com,GMS, 666 
Cooper-Standard Holdings,759,0," 3,108 ", 68 ," 28,000 ",Motor Vehicles & Parts,Novi,MI,,no,no,yes, ,Jeffrey S. Edwards,https://www.cooperstandard.com,CPS, 173 
Acadia Healthcare,760,0," 3,108 ", 109 ," 35,600 ",Health Care,Franklin,TN,,no,yes,yes, ,Debra K. Osteen,https://www.acadiahealthcare.com,ACHC," 1,629 "
Tetra Tech,761,0," 3,107 ", 159 ," 20,000 ",Engineering & Construction,Pasadena,CA,,no,no,yes, ,Dan L. Batrack,https://www.tetratech.com,TTEK," 3,862 "
Primoris Services,762,0," 3,106 ", 82 ," 9,700 ",Engineering & Construction,Dallas,TX,,no,no,yes, ,Thomas E. McCormick,https://www.primoriscorp.com,PRIM, 767 
Tempur Sealy International,763,0," 3,106 ", 190 ," 7,400 ",Household Products,Lexington,KY,,no,no,yes, ,Scott L. Thompson,https://www.tempursealy.com,TPX," 2,277 "
H&R Block,764,0," 3,095 ", 423 ," 44,600 ",Financials,Kansas City,MO,,no,no,yes, ,Jeffrey J. Jones II,https://www.hrblock.com,HRB," 2,710 "
Qorvo,765,0," 3,090 ", 133 ," 8,100 ",Technology,Greensboro,NC,,no,no,yes, ,Robert A. Bruggeworth,https://www.qorvo.com,QRVO," 9,328 "
TRI Pointe Group,766,0," 3,083 ", 207 ," 1,386 ",Engineering & Construction,Irvine,CA,,no,no,yes, ,Douglas F. Bauer,https://www.tripointegroup.com,TPH," 1,177 "
Cracker Barrel Old Country Store,767,0," 3,072 ", 223 ," 73,000 ","Hotels, Restaurants & Leisure",Lebanon,TN,,no,yes,yes, ,Sandra B. Cochran,https://www.crackerbarrel.com,CBRL," 1,993 "
Elanco Animal Health,768,0," 3,071 ", 68 ," 6,080 ",Health Care,Greenfield,IN,,no,no,yes, ,Jeffrey N. Simmons,https://www.elanco.com,ELAN," 8,923 "
PRA Health Sciences,769,0," 3,066 ", 243 ," 17,500 ",Technology,Raleigh,NC,,no,no,yes, ,Colin Shannon,https://prahs.com,PRAH," 6,286 "
First Solar,770,0," 3,063 ", (115)," 6,600 ",Energy,Tempe,AZ,,no,no,no, ,Mark R. Widmar,https://www.firstsolar.com,FSLR," 3,803 "
AMC Networks,771,0," 3,060 ", 381 ," 2,588 ",Media,New York,NY,,no,no,yes, ,Joshua W. Sapan,https://www.amcnetworks.com,AMCX," 1,351 "
Xilinx,772,0," 3,059 ", 890 ," 4,433 ",Technology,San Jose,CA,,no,no,yes, ,Victor Peng,https://www.xilinx.com,XLNX," 19,394 "
Green Plains,773,0," 3,055 ", (167), 820 ,Energy,Omaha,NE,,no,no,no, ,Todd A. Becker,https://www.gpreinc.com,GPRE, 170 
Columbia Sportswear,774,0," 3,043 ", 331 ," 8,900 ",Apparel,Portland,OR,,no,no,yes, ,Timothy P. Boyle,https://www.columbia.com,COLM," 4,703 "
Nexstar Media Group,775,0," 3,039 ", 230 ," 14,891 ",Media,Irving,TX,,no,no,yes, ,Perry Sook,https://www.nexstar.tv,NXST," 4,139 "
Southwestern Energy,776,0," 3,038 ", 891 , 923 ,Energy,Spring,TX,,no,no,yes, ,William J. Way,https://www.swn.com,SWN, 914 
Greenbrier,777,0," 3,034 ", 71 ," 17,100 ",Transportation,Lake Oswego,OR,,no,no,yes, ,William A. Furman,https://www.gbrx.com,GBX, 578 
Presidio,778,0," 3,026 ", 35 ," 2,900 ",Technology,New York,NY,,no,no,yes, ,Robert Cagnazzi,https://www.presidio.com,,
Citrix Systems,779,0," 3,011 ", 682 ," 8,400 ",Technology,Fort Lauderdale,FL,,no,no,yes, ,David J. Henshall,https://www.citrix.com,CTXS," 17,320 "
Mettler-Toledo International,780,0," 3,009 ", 561 ," 15,525 ",Technology,Columbus,OH,,no,no,yes, ,Olivier A. Filliol,https://www.mt.com,MTD," 16,559 "
Trinity Industries,781,0," 3,005 ", 138 ," 11,875 ",Transportation,Dallas,TX,,no,yes,yes, ,E. Jean Savage,https://www.trin.net,TRN," 1,924 "
Mutual of America Life Insurance,782,0," 3,005 ", (21)," 1,202 ",Financials,New York,NY,,no,no,no, ,John R. Greed,https://www.mutualofamerica.com,,
Lincoln Electric Holdings,783,0," 3,003 ", 293 ," 11,000 ",Industrials,Cleveland,OH,,no,no,yes, ,Christopher L. Mapes,https://www.lincolnelectric.com,LECO," 4,151 "
Tailored Brands,784,0," 2,999 ", (82)," 16,500 ",Retailing,Houston,TX,,no,no,no, ,Dinesh S. Lathi,https://www.tailoredbrands.com,TLRD, 84 
A.O. Smith,785,0," 2,993 ", 370 ," 15,100 ",Industrials,Milwaukee,WI,,no,no,yes, ,Kevin J. Wheeler,https://www.aosmith.com,AOS," 6,125 "
ArcBest,786,0," 2,988 ", 40 ," 13,000 ",Transportation,Fort Smith,AR,,no,yes,yes, ,Judy R. McReynolds,https://www.arcb.com,ARCB, 444 
GoDaddy,787,0," 2,988 ", 137 ," 7,024 ",Technology,Scottsdale,AZ,,no,no,yes, ,Aman Bhutani,https://www.godaddy.com,GDDY," 9,988 "
SkyWest,788,0," 2,972 ", 340 ," 13,700 ",Transportation,St. George,UT,,no,no,yes, ,Russell A. Childs,https://www.skywest.com,SKYW," 1,316 "
Boston Properties,789,0," 2,961 ", 522 , 760 ,Financials,Boston,MA,,no,no,yes, ,Owen D. Thomas,https://www.bostonproperties.com,BXP," 14,307 "
Enable Midstream Partners,790,0," 2,960 ", 396 ," 1,735 ",Energy,Oklahoma City,OK,,no,no,yes, ,Rodney J. Sailor,https://www.enablemidstream.com,ENBL," 1,119 "
Middleby,791,0," 2,959 ", 352 ," 9,778 ",Industrials,Elgin,IL,,no,no,yes, ,Timothy J. FitzGerald,https://www.middleby.com,MIDD," 3,196 "
NOW,792,0," 2,951 ", (97)," 4,300 ",Energy,Houston,TX,,no,no,no, ,David A. Cherechinsky,https://www.distributionnow.com,DNOW, 564 
Unisys,793,0," 2,949 ", (17)," 20,800 ",Technology,Blue Bell,PA,,no,no,no, ,Peter A. Altabef,https://www.unisys.com,UIS, 777 
Visteon,794,0," 2,945 ", 70 ," 11,000 ",Motor Vehicles & Parts,Van Buren Township,MI,,no,no,yes, ,Sachin S. Lawande,https://www.visteon.com,VC," 1,344 "
Graham Holdings,795,0," 2,932 ", 328 ," 15,902 ",Business Services,Arlington,VA,,no,no,yes, ,,https://www.ghco.com,GHC," 1,791 "
Resolute Forest Products,796,0," 2,923 ", (47)," 6,700 ",Materials,Calhoun,TN,,no,no,no, ,Remi G. Lalonde,https://www.resolutefp.com,RFP, 109 
Caleres,797,0," 2,922 ", 63 ," 11,400 ",Retailing,St. Louis,MO,,no,yes,yes, ,Diane M. Sullivan,https://www.caleres.com,CAL, 208 
AGNC Investment,798,0," 2,920 ", 688 , 51 ,Financials,Bethesda,MD,,no,no,yes, ,Gary D. Kain,https://www.agnc.com,AGNC," 5,723 "
Hill-Rom Holdings,799,0," 2,907 ", 152 ," 10,000 ",Health Care,Chicago,IL,,no,no,yes, ,John P. Groetelaars,https://www.hill-rom.com,HRC," 6,739 "
Moog,800,0," 2,905 ", 180 ," 12,809 ",Aerospace & Defense,East Aurora,NY,,no,no,yes, ,John R. Scannell,https://www.moog.com,MOGA," 1,713 "
Legg Mason,801,0," 2,903 ", (29)," 3,246 ",Financials,Baltimore,MD,,no,no,no, ,Matthew Nicholls,https://www.leggmason.com,," 4,245 "
Atmos Energy,802,0," 2,902 ", 511 ," 4,776 ",Energy,Dallas,TX,,no,no,yes, ,John K. Akers,https://www.atmosenergy.com,ATO," 12,133 "
Woodward,803,0," 2,900 ", 260 ," 9,023 ",Aerospace & Defense,Fort Collins,CO,,no,no,yes, ,Thomas A. Gendron,https://www.woodward.com,WWD," 3,698 "
Palo Alto Networks,804,0," 2,900 ", (82)," 7,014 ",Technology,Santa Clara,CA,,no,no,no, ,Nikesh Arora,https://www.paloaltonetworks.com,PANW," 35,400 "
H.B. Fuller,805,0," 2,897 ", 131 ," 6,369 ",Chemicals,St. Paul,MN,,no,no,yes, ,James J. Owens,https://www.hbfuller.com,FUL," 1,436 "
